customer_id,recency,frequency,total_revenue,customer_segment
1957458976293878100,32,16,128412.51999999999,Cliente Activo
9417857471295131045,4,5,41810.85,Cliente Leal
5632276788326171571,319,1,16032.75,Cliente Perdido
4471415710206918415,84,4,11229.099999999999,Cliente en Riesgo
9089132392240687728,91,10,10041.75,Cliente en Riesgo
4984366501121503466,5,16,9649.4000000000015,Cliente Leal
3924372865099736100,341,1,9227.74,Cliente Perdido
9026840718082010040,25,4,9011.18,Cliente Leal
9029794295932939024,132,9,7899.3499999999995,Cliente Perdido
9264804092676520813,341,2,7718.93,Cliente Perdido
7463172420271311409,1,9,7260.1,Cliente Leal
7311242886083854158,0,12,7201.25,Cliente Leal
3244885836845029978,329,3,7102.88,Cliente Perdido
1956307607572137989,242,7,7092.21,Cliente Perdido
1814166460229302850,120,7,7073.51,Cliente en Riesgo
79204932396995037,43,2,7056.15,Cliente Activo
7496147812697146114,232,1,7003.5,Cliente Perdido
6226617329849661943,102,1,6969.7,Cliente en Riesgo
6760732402251466726,256,15,6495.48,Cliente Perdido
7284466025557220497,127,4,5972.19,Cliente Perdido
5469079519715865124,62,1,5608.4,Cliente en Riesgo
7965265156545901045,244,1,4849.6,Cliente Perdido
2969957690756250633,97,2,4739.98,Cliente en Riesgo
8740176326132717435,272,3,4600.65,Cliente Perdido
6010250598436085923,80,7,4415.0300000000007,Cliente en Riesgo
4604965471651937146,34,1,4289.7,Cliente Activo
3769632740374536577,96,1,4274.0,Cliente en Riesgo
2446685875964479851,155,6,4193.76,Cliente Perdido
4835082938415020542,93,8,4104.64,Cliente en Riesgo
9817395183603701442,341,1,4087.5,Cliente Perdido
8197879643797712877,30,10,4076.9600000000005,Cliente Activo
3835134197841326255,166,3,4034.48,Cliente Perdido
119870259714905967,76,5,4027.21,Cliente en Riesgo
6236695646664370912,27,1,4013.56,Cliente Activo
6805387544309582877,229,1,4013.08,Cliente Perdido
5590743844926892757,141,6,3994.18,Cliente Perdido
8436426603099391262,182,8,3806.67,Cliente Perdido
8942866004645538967,134,1,3775.8,Cliente Perdido
2402527199731150932,78,15,3736.8100000000009,Cliente en Riesgo
3751433429956400495,237,2,3693.3,Cliente Perdido
9338374006954760146,134,3,3673.8,Cliente Perdido
7113011772090059658,49,3,3463.41,Cliente Activo
372706149688864468,3,7,3461.0100000000007,Cliente Leal
4067986469497332117,308,1,3394.8,Cliente Perdido
6052206455243513477,7,2,3314.4,Cliente Leal
566055411938639598,63,2,3310.62,Cliente en Riesgo
0608915197735218105,4,13,3306.23,Cliente Leal
428994201200499894,328,3,3298.5699999999997,Cliente Perdido
6147396474895233852,182,5,3285.2799999999997,Cliente Perdido
2517364798811740879,166,2,3212.84,Cliente Perdido
9974232250427988367,125,3,3184.8300000000004,Cliente Perdido
3921649958751416379,48,6,3168.2,Cliente Activo
9662800125044386280,284,3,3163.04,Cliente Perdido
1759779356678951325,95,6,3116.35,Cliente en Riesgo
442570016186963075,343,2,3104.24,Cliente Perdido
4759981878863963838,126,1,3027.1,Cliente Perdido
4132432278764632576,182,1,3013.64,Cliente Perdido
5341271361784611942,134,5,2986.54,Cliente Perdido
517804428885255967,355,2,2976.64,Cliente Perdido
9725941383382274621,204,4,2959.11,Cliente Perdido
9308310352918219134,0,1,2935.61,Cliente Activo
8539433516671325668,173,1,2877.0,Cliente Perdido
7383823269227966775,286,2,2817.58,Cliente Perdido
3329885141648806984,133,4,2793.58,Cliente Perdido
7813149961404844386,71,33,2786.5099999999998,Cliente en Riesgo
0220695720492664721,77,5,2776.6800000000003,Cliente en Riesgo
0291002892578472269,88,1,2774.11,Cliente en Riesgo
1070774421633587976,322,1,2771.44,Cliente Perdido
4422460864147269736,352,2,2734.18,Cliente Perdido
2409362637274898406,106,1,2694.4,Cliente en Riesgo
5617770153245303309,251,1,2657.0,Cliente Perdido
9372618001980854712,126,5,2618.03,Cliente Perdido
7445235885559107095,1,4,2575.16,Cliente Leal
8161635015929084485,248,1,2549.0,Cliente Perdido
7990135994432965391,224,2,2498.95,Cliente Perdido
4863941202505455588,57,5,2458.1499999999996,Cliente Activo
8076486872734382011,303,1,2447.87,Cliente Perdido
875410720669459903,14,1,2408.2,Cliente Activo
1044832976156649069,309,1,2401.7,Cliente Perdido
7756103894574714837,227,2,2400.69,Cliente Perdido
0095747507496204221,46,1,2369.5,Cliente Activo
244535803596038100,307,2,2355.12,Cliente Perdido
3704081881488905199,88,1,2336.65,Cliente en Riesgo
3979618861854336423,309,2,2301.92,Cliente Perdido
7638336411447332495,186,3,2266.7,Cliente Perdido
4950411203281265700,1,3,2255.25,Cliente Leal
7701613595320832147,19,3,2218.1,Cliente Leal
3006489767948351126,365,1,2213.38,Cliente Perdido
9305766004990797685,105,3,2210.09,Cliente en Riesgo
9661775944684760384,69,1,2204.0,Cliente en Riesgo
513403330506317388,153,2,2124.15,Cliente Perdido
599110551792149234,8,3,2119.8999999999996,Cliente Leal
33024620802809684,238,1,2115.8,Cliente Perdido
1546626226233851002,333,1,2103.69,Cliente Perdido
4116720743881459837,53,4,2088.7,Cliente Activo
0710632165228073636,50,2,2076.4,Cliente Activo
4260968995177655855,8,3,2039.3999999999999,Cliente Leal
1410336440849356236,258,1,1998.0,Cliente Perdido
0110237584337011595,109,1,1960.55,Cliente en Riesgo
6913633170731491634,239,1,1940.13,Cliente Perdido
5526675926038480325,150,1,1938.09,Cliente Perdido
9952616174324085427,270,3,1936.19,Cliente Perdido
154104806751769000,50,3,1927.42,Cliente Activo
20772809165725592,287,1,1917.0,Cliente Perdido
7435052038545127483,195,6,1909.57,Cliente Perdido
6903095151297107595,243,3,1907.47,Cliente Perdido
8851822767477687842,305,6,1896.75,Cliente Perdido
5128888224452873031,272,4,1896.74,Cliente Perdido
9377429831454005466,125,9,1824.62,Cliente Perdido
3444642706013409818,231,2,1820.6399999999999,Cliente Perdido
2297135054731105073,33,2,1792.78,Cliente Activo
088945266147609238,168,2,1775.85,Cliente Perdido
1091802616723319272,117,2,1772.93,Cliente en Riesgo
5082563130101167793,81,1,1750.82,Cliente en Riesgo
3697825790083716939,189,2,1744.78,Cliente Perdido
1109190750765217972,239,2,1733.13,Cliente Perdido
4474580511359381331,302,1,1699.5,Cliente Perdido
0626284759664097746,228,1,1691.7,Cliente Perdido
2496439703637913793,224,1,1688.79,Cliente Perdido
047096740790346861,231,1,1688.72,Cliente Perdido
5112369122544987822,21,4,1683.0500000000002,Cliente Leal
3305485862461522985,98,2,1628.16,Cliente en Riesgo
9634718394347160889,348,5,1624.1399999999999,Cliente Perdido
4432170800264031771,124,4,1622.42,Cliente Perdido
2604472846435898379,40,4,1619.35,Cliente Activo
3156235512146749592,7,2,1614.65,Cliente Leal
1144912080450618887,277,3,1612.57,Cliente Perdido
145862566057652583,294,1,1606.2,Cliente Perdido
2998366531691727863,276,1,1605.8,Cliente Perdido
4166700707688517424,365,1,1592.4,Cliente Perdido
3158455409969332495,173,2,1591.5800000000002,Cliente Perdido
9771437221362506189,209,3,1590.67,Cliente Perdido
0199756139590139879,181,2,1584.63,Cliente Perdido
4983264713224875783,150,1,1576.33,Cliente Perdido
9127657904050953509,84,1,1573.27,Cliente en Riesgo
6499749315992064304,230,1,1563.18,Cliente Perdido
8485421393652582878,160,2,1555.0900000000001,Cliente Perdido
359543575011787613,307,2,1538.1,Cliente Perdido
7117209037706583763,186,1,1535.41,Cliente Perdido
6432310188343340425,21,2,1530.31,Cliente Leal
2396848817613598114,149,2,1518.49,Cliente Perdido
1131086328893373855,195,1,1506.5,Cliente Perdido
5615659499306558316,343,2,1473.02,Cliente Perdido
3742368203315546493,132,1,1468.8,Cliente Perdido
5283278344963059120,346,1,1455.77,Cliente Perdido
8274321599109591674,131,1,1455.0,Cliente Perdido
4178948793864037103,22,1,1443.79,Cliente Activo
1977171862732443916,50,1,1443.75,Cliente Activo
382764578031539000,243,2,1427.99,Cliente Perdido
3803364184957424266,228,2,1403.92,Cliente Perdido
7970701992007145468,326,4,1402.2,Cliente Perdido
9807072102349488174,222,7,1398.02,Cliente Perdido
6668081558564900297,106,2,1386.65,Cliente en Riesgo
7538330122216229269,316,1,1371.67,Cliente Perdido
9160688801124625042,60,3,1371.6100000000001,Cliente en Riesgo
0955218036984949713,125,1,1369.86,Cliente Perdido
1386841622492700501,348,1,1369.46,Cliente Perdido
2208179340101029302,195,1,1359.7,Cliente Perdido
5874652729047848960,358,1,1358.09,Cliente Perdido
155711517942843047,204,2,1355.9099999999999,Cliente Perdido
5185645869012304658,18,3,1352.0,Cliente Leal
1308843236768324191,244,1,1351.78,Cliente Perdido
213465488216513322,35,5,1350.57,Cliente Activo
7713012430069756739,152,1,1319.63,Cliente Perdido
9520888113788925789,343,1,1314.01,Cliente Perdido
1869599090210681270,54,2,1313.5,Cliente Activo
7266506425665550772,204,1,1310.59,Cliente Perdido
8258605994436403442,146,1,1306.35,Cliente Perdido
6986536761307654836,92,4,1300.89,Cliente en Riesgo
9004668593024428031,181,2,1297.4299999999998,Cliente Perdido
3662177742807173577,47,1,1291.36,Cliente Activo
1132760331530975847,321,2,1289.7,Cliente Perdido
029534875378731789,359,1,1286.0,Cliente Perdido
9457643087878203141,207,2,1277.4,Cliente Perdido
3948936105865802619,45,1,1272.19,Cliente Activo
5349155616428631188,166,1,1268.4,Cliente Perdido
0702289726935404752,4,1,1268.08,Cliente Activo
3685754350536487265,110,1,1257.85,Cliente en Riesgo
0388540104773034683,285,1,1254.85,Cliente Perdido
6752202398178305977,349,1,1251.33,Cliente Perdido
0951979273858392158,237,1,1243.85,Cliente Perdido
9127648314670892401,144,2,1227.0,Cliente Perdido
1710046532262949205,272,4,1222.0900000000001,Cliente Perdido
682241557361742402,15,2,1216.51,Cliente Leal
7441074498173829277,74,2,1211.72,Cliente en Riesgo
6879336706336070910,136,1,1209.64,Cliente Perdido
2546464604912220860,192,3,1209.15,Cliente Perdido
650056086385776129,119,1,1200.5,Cliente en Riesgo
4808974885561715322,189,7,1199.34,Cliente Perdido
6873140036612855431,12,2,1199.06,Cliente Leal
6866350473487025538,47,1,1198.2,Cliente Activo
7107718938057621237,323,1,1196.51,Cliente Perdido
5889911900700312712,271,1,1181.79,Cliente Perdido
2079305443218957036,286,1,1176.79,Cliente Perdido
0092577710025173656,161,2,1162.99,Cliente Perdido
4531247843823782323,109,2,1160.92,Cliente en Riesgo
0894441452857839509,253,3,1159.84,Cliente Perdido
5541013582108624556,342,1,1155.76,Cliente Perdido
7822178141511453911,101,2,1155.6,Cliente en Riesgo
6442597469017696977,354,1,1155.6,Cliente Perdido
7117790713019441087,277,1,1152.82,Cliente Perdido
9519453598438934808,182,2,1144.1,Cliente Perdido
8924760956022529477,229,1,1140.79,Cliente Perdido
437357987201411491,201,1,1140.35,Cliente Perdido
8232947695089161227,320,2,1134.33,Cliente Perdido
2415337345055025215,104,1,1133.47,Cliente en Riesgo
9441031549900042682,93,4,1128.02,Cliente en Riesgo
2419083783587438310,62,5,1127.81,Cliente en Riesgo
6555565208785963579,314,1,1127.8,Cliente Perdido
1433472344011352817,245,1,1123.91,Cliente Perdido
0114215561909122661,154,1,1108.7,Cliente Perdido
27819532062608348,307,1,1105.0,Cliente Perdido
2071600581309850742,323,1,1101.94,Cliente Perdido
8443643406410739523,33,3,1101.6200000000001,Cliente Activo
1012363918031449847,175,1,1101.0,Cliente Perdido
0197277329550470329,263,2,1100.8400000000001,Cliente Perdido
4921413806940784676,75,5,1099.72,Cliente en Riesgo
3345163376310988493,259,4,1098.8899999999999,Cliente Perdido
2447827715810849371,322,1,1097.14,Cliente Perdido
5513556639437908117,63,1,1095.86,Cliente en Riesgo
2039492680362282609,123,1,1093.16,Cliente Perdido
253940903586003186,127,2,1084.79,Cliente Perdido
2020115174591875878,133,4,1083.6000000000001,Cliente Perdido
4997974283801871350,125,2,1081.8799999999999,Cliente Perdido
3845084664510267721,176,1,1074.14,Cliente Perdido
2536718676534980101,50,1,1060.49,Cliente Activo
6998123451602955017,50,1,1057.78,Cliente Activo
2801499422088453532,144,1,1054.0,Cliente Perdido
9894955795481014038,340,5,1045.95,Cliente Perdido
7937009225076356808,319,2,1044.69,Cliente Perdido
2790290625227220214,83,1,1042.6,Cliente en Riesgo
3939966046509655464,147,1,1037.21,Cliente Perdido
980432803323288584,50,1,1036.69,Cliente Activo
9096520761663761535,194,1,1036.55,Cliente Perdido
3133961575709711907,215,1,1028.75,Cliente Perdido
4602383891226401804,8,3,1022.24,Cliente Leal
8637126764947849416,208,1,1021.5,Cliente Perdido
1618402686799055031,235,1,1015.83,Cliente Perdido
1480311877127336013,273,1,1015.48,Cliente Perdido
6104963094502152821,96,2,1009.5799999999999,Cliente en Riesgo
0126612099954375841,0,1,1006.78,Cliente Activo
4030851960983791121,1,1,999.68,Cliente Activo
6849604863010168468,151,3,986.74,Cliente Perdido
8966130487678127924,134,1,984.7,Cliente Perdido
7344519175727343086,340,4,984.46999999999991,Cliente Perdido
1388827316063999339,139,1,980.86,Cliente Perdido
2220891106353085250,344,1,980.86,Cliente Perdido
7261302704200810675,162,1,978.59,Cliente Perdido
2479467739525533377,85,1,967.0,Cliente en Riesgo
4214801094653561091,257,2,955.91,Cliente Perdido
8477265213767844589,124,2,953.5,Cliente Perdido
7292983953762980102,182,2,952.7,Cliente Perdido
6736342148988696892,163,1,951.7,Cliente Perdido
476894088375216381,244,2,950.47,Cliente Perdido
1900860815673587826,96,5,946.6099999999999,Cliente en Riesgo
1563165194353120614,238,2,939.03,Cliente Perdido
3197533100947860058,51,4,938.84,Cliente Activo
9227772112500941696,1,2,935.79000000000008,Cliente Leal
5632994425337545327,83,2,934.15,Cliente en Riesgo
5088165134523935332,97,2,926.04000000000008,Cliente en Riesgo
1452613891025216774,13,3,926.01,Cliente Leal
0968815662109493799,44,1,918.52,Cliente Activo
6966256087320527646,169,1,917.5,Cliente Perdido
9415047435363681557,326,2,915.53,Cliente Perdido
4076862635585033778,203,1,915.2,Cliente Perdido
997271511212133268,118,1,914.8,Cliente en Riesgo
3449924104971285851,181,2,914.75,Cliente Perdido
1727715375435944327,2,1,914.36,Cliente Activo
419161784882208907,140,2,913.13,Cliente Perdido
4724259822631281911,257,1,912.4,Cliente Perdido
397440133393463294,6,1,907.5,Cliente Activo
9642698057695067786,172,1,907.19,Cliente Perdido
4387148615014504940,189,1,906.27,Cliente Perdido
728168523838298915,113,1,906.11,Cliente en Riesgo
8051330666155148777,141,1,905.3,Cliente Perdido
9349161317881541522,140,1,901.71,Cliente Perdido
7561014297963838461,148,3,899.6400000000001,Cliente Perdido
029131400687020410,210,2,897.95,Cliente Perdido
1045033759778661078,176,2,892.27,Cliente Perdido
1740516675967625074,195,1,883.9,Cliente Perdido
2818796658906330904,25,1,883.25,Cliente Activo
1228194844972973772,181,3,881.14,Cliente Perdido
2091708218998967059,67,1,880.8,Cliente en Riesgo
7803437096506812413,7,1,877.15,Cliente Activo
4417750678655446023,139,1,865.65,Cliente Perdido
9547536437145935282,33,1,864.8,Cliente Activo
4154041461958944095,20,1,859.0,Cliente Activo
0214776722271775969,15,4,858.28,Cliente Leal
5592881072764401031,141,1,857.1,Cliente Perdido
7046459416249489564,77,1,856.4,Cliente en Riesgo
3137253471555883779,354,1,853.37,Cliente Perdido
8643842096517952124,340,1,852.81,Cliente Perdido
2001149638183224329,257,2,852.14,Cliente Perdido
216182135691067032,287,1,850.94,Cliente Perdido
8533777620036139796,286,1,846.59,Cliente Perdido
3844963796434073356,139,1,843.7,Cliente Perdido
4688701882146101937,97,2,842.72,Cliente en Riesgo
8355761719753398617,74,1,840.05,Cliente en Riesgo
713731982901764318,2,3,838.48,Cliente Leal
7777403200539516342,353,1,836.42,Cliente Perdido
5985368233376980363,85,1,833.37,Cliente en Riesgo
5772921781547143127,0,3,830.21,Cliente Leal
56746998029721050,274,1,829.85,Cliente Perdido
6430761922443082063,105,2,829.5,Cliente en Riesgo
9794005369838434901,323,1,827.73,Cliente Perdido
5740736607578990652,344,1,821.41,Cliente Perdido
096830421763570474,308,1,817.3,Cliente Perdido
2348681849763325965,13,3,816.47,Cliente Leal
