fecha,country,revenue_usd,total_transactions,sesiones
2016-08-01,(not set),,,2
2016-08-01,Albania,,,6
2016-08-01,Algeria,,,2
2016-08-01,Argentina,,,4
2016-08-01,Armenia,,,1
2016-08-01,Australia,,,16
2016-08-01,Austria,,,3
2016-08-01,Bahrain,,,1
2016-08-01,Bangladesh,,,7
2016-08-01,Belgium,,,1
2016-08-01,Bosnia & Herzegovina,,,4
2016-08-01,Brazil,,,28
2016-08-01,Bulgaria,,,8
2016-08-01,Canada,,,36
2016-08-01,China,,,5
2016-08-01,Colombia,,,6
2016-08-01,Costa Rica,,,2
2016-08-01,Cyprus,,,1
2016-08-01,Czechia,,,1
2016-08-01,Denmark,,,3
2016-08-01,Egypt,,,4
2016-08-01,El Salvador,,,1
2016-08-01,Estonia,,,2
2016-08-01,Ethiopia,,,1
2016-08-01,Finland,,,1
2016-08-01,France,,,5
2016-08-01,Georgia,,,1
2016-08-01,Germany,,,10
2016-08-01,Ghana,,,3
2016-08-01,Greece,,,4
2016-08-01,Haiti,,,1
2016-08-01,Hong Kong,,,8
2016-08-01,India,,,70
2016-08-01,Indonesia,,,20
2016-08-01,Ireland,,,2
2016-08-01,Israel,,,6
2016-08-01,Italy,,,11
2016-08-01,Japan,,,18
2016-08-01,Jordan,,,4
2016-08-01,Kenya,1592.4,1,6
2016-08-01,Kosovo,,,2
2016-08-01,Lebanon,,,3
2016-08-01,Macedonia (FYROM),,,4
2016-08-01,Malawi,,,1
2016-08-01,Malaysia,,,14
2016-08-01,Maldives,,,1
2016-08-01,Malta,,,1
2016-08-01,Mexico,19.99,1,33
2016-08-01,Mongolia,,,2
2016-08-01,Montenegro,,,1
2016-08-01,Morocco,,,2
2016-08-01,Nepal,,,1
2016-08-01,Netherlands,,,4
2016-08-01,New Zealand,,,4
2016-08-01,Nigeria,,,5
2016-08-01,Norway,,,2
2016-08-01,Oman,,,2
2016-08-01,Pakistan,,,17
2016-08-01,Panama,,,2
2016-08-01,Paraguay,,,1
2016-08-01,Peru,,,12
2016-08-01,Philippines,,,49
2016-08-01,Poland,,,12
2016-08-01,Portugal,,,5
2016-08-01,Puerto Rico,,,1
2016-08-01,Qatar,,,2
2016-08-01,Romania,,,9
2016-08-01,Russia,,,7
2016-08-01,Rwanda,,,1
2016-08-01,Saudi Arabia,,,5
2016-08-01,Serbia,,,3
2016-08-01,Singapore,,,8
2016-08-01,Slovakia,,,6
2016-08-01,Slovenia,,,3
2016-08-01,South Africa,,,1
2016-08-01,South Korea,,,4
2016-08-01,Spain,,,10
2016-08-01,Sri Lanka,,,5
2016-08-01,Sweden,,,3
2016-08-01,Switzerland,,,5
2016-08-01,Taiwan,,,10
2016-08-01,Thailand,,,16
2016-08-01,Tunisia,,,5
2016-08-01,Turkey,,,42
2016-08-01,Ukraine,,,3
2016-08-01,United Arab Emirates,,,12
2016-08-01,United Kingdom,,,46
2016-08-01,United States,4675.67,32,977
2016-08-01,Uruguay,,,1
2016-08-01,Venezuela,,,5
2016-08-01,Vietnam,,,26
2016-08-02,(not set),,,3
2016-08-02,Albania,,,1
2016-08-02,Algeria,,,5
2016-08-02,Argentina,,,16
2016-08-02,Armenia,,,1
2016-08-02,Australia,,,25
2016-08-02,Austria,,,5
2016-08-02,Azerbaijan,,,1
2016-08-02,Bahrain,,,2
2016-08-02,Bangladesh,,,5
2016-08-02,Belarus,,,1
2016-08-02,Belgium,,,4
2016-08-02,Bolivia,,,2
