product_sku,product_name,quantity_sold,revenue_usd
GGOEGDHQ015399,26 oz Double Wall Insulated Bottle,2070,44454.491527
GGOEGOCB017499,Leatherette Journal,4058,38563.457656
GGOEGOLC014299,Google Metallic Notebook Set,5447,28846.596814
GGOEGDHC018299,Google 22 oz Water Bottle,9824,27881.329161
GGOEGOCL077699,Google Hard Cover Journal,1825,25432.673189
GGOEGBMJ013399,Sport Bag,4948,23441.408008
GGOEGDHC074099,Google 17oz Stainless Steel Sport Bottle,1418,23301.667771
GGOEGBRA037499,Waterproof Backpack,218,19379.836853
GGOEYOLR018699,YouTube Leatherette Notebook Combo,3087,18754.463097
GGOEGHPB071610,Google Twill Cap,1782,18445.834065
GGOEGDWC020199,Engraved Ceramic Google Mug,2145,17791.328706
GGOEGBRJ037399,Google Rucksack,267,17643.699369
GGOEGGOA017399,Maze Pen,16618,15604.003029
GGOEGOCC077999,Google Spiral Journal with Pen,1893,15424.25454
GGOEGDHR018499,Google 22 oz Water Bottle,5382,15113.712835
GGOEGOCT019199,Red Spiral Google Notebook,1641,14791.419768
GGOEGAFB035815,Google Men's  Zip Hoodie,296,14742.492617
GGOEGOCR017899,Recycled Paper Journal Set,4122,14699.078507
GGOEGBRJ037299,Google Alpine Style Backpack,166,14451.93909
GGOEGOLC013299,Spiral Notebook and Pen Set,2962,14411.846986
GGOEYOCR077799,YouTube Hard Cover Journal,1058,14379.759592
GGOEYHPB072210,YouTube Twill Cap,1385,13919.59434
GGOEGEVR014999,Google Water Resistant Bluetooth Speaker,447,13855.909286
GGOEGEVB070499,Google Bluetooth Headphones,286,13689.12423
GGOEGDWR015799,Red Shine 15 oz Mug,1125,13641.701654
GGOEGBJL013999,Google Canvas Tote Natural/Navy,986,13511.488517
GGOEGOCC017599,Recycled Paper Journal Set,3678,13219.091923
GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,531,12652.261649
GGOEGBRB013899,Google Laptop Backpack,137,12542.006992
GGOEGFKQ020399,Google Laptop and Cell Phone Stickers,5528,12409.088536
GGOEGAFB035814,Google Men's  Zip Hoodie,247,12163.549721
GGOEGBJC019999,Collapsible Shopping Bag,2636,12038.266414
GGOEGAFB035816,Google Men's  Zip Hoodie,208,10638.090395
GGOEGHPJ080110,Google 5-Panel Cap,548,10380.066983
GGOEGETR014599,Google Tube Power Bank,667,10208.466345
GGOEGHGC019799,Google Sunglasses,3133,10147.133805
